"Data Year","ID","Property Name","Reporting Status","Address","ZIP Code","Chicago Energy Rating","Exempt From Chicago Energy Rating","Community Area","Primary Property Type","Gross Floor Area - Buildings (sq ft)","Year Built","# of Buildings","Water Use (kGal)","ENERGY STAR Score","Electricity Use (kBtu)","Natural Gas Use (kBtu)","District Steam Use (kBtu)","District Chilled Water Use (kBtu)","All Other Fuel Use (kBtu)","Site EUI (kBtu/sq ft)","Source EUI (kBtu/sq ft)","Weather Normalized Site EUI (kBtu/sq ft)","Weather Normalized Source EUI (kBtu/sq ft)","Total GHG Emissions (Metric Tons CO2e)","GHG Intensity (kg CO2e/sq ft)","Latitude","Longitude","Location","Row_ID"
"2022","117188","Ruth Shriman House","Submitted Data","4040  N SHERIDAN RD","60613","3.5","false","UPTOWN","Multifamily Housing","67,988","1999","1",,"79","755,775.1","5,127,229.9","0","0",,"86.5","110.3","90.1","114.2","371.9","5.5","41.95568501728","-87.65472512811","(41.95568501727633, -87.65472512810643)","2022-117188"
"2022","106184",,"Not Submitted","5300 5308 S PULASKI RD","60632","0.0","false","WEST ELSDON",,"61,500",,,,,,,,,,,,,,,,"41.79675457185","-87.7234092203","(41.79675457185308, -87.72340922029963)","2022-106184"
"2022","253967","Twenty N. State Condominium Association","Submitted Data","20 N State St","60602","2.5","false","Loop","Multifamily Housing","211,608","1930","1",,"53","8,114,118.8","8,041,686.5","0","0",,"76.3","147.3","78.7","149.7","1,495.9","7.1","41.88249264464","-87.62799580639","(41.882492644635484, -87.62799580639097)","2022-253967"
"2022","175130",,"Not Submitted","5925  N PAULINA ST","60660","0.0","false","EDGEWATER",,"50,173",,,,,,,,,,,,,,,,"41.98918225917","-87.67143722238","(41.989182259168956, -87.67143722238339)","2022-175130"
"2022","105034","Carmen Marine Tenant Chicago Il","Submitted Data","5030 N Marine Dr","60640","0.0","false","UPTOWN","Multifamily Housing","303,602","1971","1",,,,"0","0","0",,,,,,"0","0","41.97427075423","-87.65149530893","(41.97427075422844, -87.65149530892887)","2022-105034"
"2022","251647","Gregory Elementary -CPS","Exempt","3707 W Polk","60624",,"true","EAST GARFIELD PARK",,"109,900",,,,,,,,,,,,,,,,"41.87071589227","-87.71834052206","(41.870715892271264, -87.71834052206428)","2022-251647"
"2022","222943","University Park Condominium Association","Submitted Data","1451 E 55th St","60615","3.0","false","HYDE PARK","Multifamily Housing","579,783","1961","2",,"62","4,921,634.3","52,357,928.4","0","0",,"106.3","127.6","114.1","135.8","3,429.2","6.4","41.79540241485","-87.5895798345","(41.795402414850116, -87.58957983449767)","2022-222943"
"2022","256880",,"Submitted Data","23 W CHICAGO AVE","60654","3.5","false",,"Multifamily Housing","993,583","2021","2",,"77","12,574,637.9","61,167,040.6","0","0",,"74.2","100.1","76.1","101.1","4,905.1","4.9","41.89655372408","-87.62919269257","(41.89655372407749, -87.62919269256527)","2022-256880"
"2022","105150",,"Not Submitted","1533 W JARVIS AVE","60626","0.0","false","ROGERS PARK",,"68,955",,,,,,,,,,,,,,,,"42.015901674","-87.66944213505","(42.015901673998954, -87.66944213504543)","2022-105150"
"2022","242148","(IL337)- Museum Park Place","Submitted Data","1841 S Calumet Ave","60616","2.5","false","NEAR SOUTH SIDE","Multifamily Housing","407,616","2006","1",,"54","9,847,758.9","17,065,212","0","0",,"89.4","151.1","92.5","153","2,203.5","7.3","41.85679915854","-87.61898739327","(41.856799158542195, -87.61898739327104)","2022-242148"
"2022","158412","AC Hotel Chicago Downtown","Not Submitted","630 N Rush St","60611","0.0","false","NEAR NORTH SIDE",,"371,717",,,,,,,,,,,,,,,,"41.8933524377","-87.62556698833","(41.89335243769719, -87.62556698832533)","2022-158412"
"2022","250107","Mayor Robert H Lawrence Apts","Submitted Data","655 W 65th St","60621","4.0","false","ENGLEWOOD","Multifamily Housing","158,732","1967","1",,"85","3,027,316.4","7,506,830.2","0","0",,"66.4","103.1","69.7","106.6","797.5","5","41.77603810771","-87.64186306248","(41.776038107710136, -87.64186306247757)","2022-250107"
"2022","172584","ASPIRA Early College High School","Not Submitted","3986 W Barry Ave","60618","0.0","false","AVONDALE",,"59,374",,,,,,,,,,,,,,,,"41.93738186062","-87.7268241024","(41.937381860623276, -87.72682410240208)","2022-172584"
"2022","239994","Park 1500 Lofts","Submitted Data","1500 W Monroe St","60607","4.0","false","NEAR WEST SIDE","Multifamily Housing","516,812","2004","2",,"92","9,012,557","11,456,931.3","0","0",,"52.9","96.3","53.4","95.3","1,795.6","4.6","41.88031674053","-87.6645103395","(41.8803167405322, -87.66451033949646)","2022-239994"
"2022","132161",,"Exempt","4000 4006 W NORTH AVE","60639",,"true","HUMBOLDT PARK",,"51,280",,,,,,,,,,,,,,,,"41.90999558161","-87.72639469321","(41.90999558160536, -87.72639469321471)","2022-132161"
"2022","172637",,"Exempt","800 900 W 115TH ST","60643",,"true","MORGAN PARK",,"170,500",,,,,,,,,,,,,,,,"41.68519005572","-87.64227956402","(41.68519005571938, -87.64227956401977)","2022-172637"
"2022","172387","Wrigley Global Innovation Center","Not Submitted","1132 W BLACKHAWK ST","60642","0.0","false","NEAR NORTH SIDE",,"276,780",,,,,,,,,,,,,,,,"41.90726025271","-87.65680417252","(41.90726025271137, -87.65680417252435)","2022-172387"
"2022","251567","Pershing West -CPS","Submitted Data","3200 S Calumet Ave","60616","2.0","false","DOUGLAS","K-12 School","128,716","1924","2",,"49","2,226,418.7","9,086,849.6","0","0",,"87.9","122.6","93.1","128","775.9","6","41.83649004697","-87.61837372401","(41.83649004697288, -87.61837372400701)","2022-251567"
"2022","158774","Bethany Retirement Community","Not Submitted","4950 N ASHLAND AVE","60640","0.0","false","UPTOWN",,"121,446",,,,,,,,,,,,,,,,"41.9724777682","-87.66968611689","(41.97247776820093, -87.66968611689114)","2022-158774"
"2022","253952","Catherine Courts Condominium Association of Chicago","Not Submitted","8439-8503 W Catherine Ave","60656","0.0","false","OHARE",,"149,754",,,,,,,,,,,,,,,,"41.97735038102","-87.83828812076","(41.97735038102216, -87.83828812075606)","2022-253952"
"2022","251909","Garvey Elementary, John W -CPS","Submitted Data","5225 N Oak Park Ave","60656","1.0","false","NORWOOD PARK","K-12 School","79,665","1936","3",,"15","3,162,709.2","4,763,399.7","0","0",,"99.5","173.9","101.9","174.5","669.6","8.4","41.97635262495","-87.79619832114","(41.9763526249536, -87.79619832113984)","2022-251909"
"2022","101943","303 W Madison","Submitted Data","303 W Madison St","60606","3.5","false","LOOP","Office","353,439","1987","1",,"79","17,533,064.2","0","0","0",,"50.8","142.1","51.4","143.8","2,309.4","6.7","41.88182249377","-87.63543657103","(41.881822493770215, -87.6354365710274)","2022-101943"
"2022","175867","Six Corners Plaza","Not Submitted","3970 - 3982 N Milwaukee Ave","60641","0.0","false","PORTAGE PARK",,"80,596",,,,,,,,,,,,,,,,"41.95289254101","-87.74670937746","(41.95289254100759, -87.74670937745921)","2022-175867"
"2022","252013","900 Franklin","Not Submitted","900 N Franklin St","60610","0.0","false","NEAR NORTH SIDE",,"95,866",,,,,,,,,,,,,,,,"41.89899799425","-87.63592067312","(41.89899799424835, -87.63592067312285)","2022-252013"
"2022","255002","Mariano's","Not Submitted","3857 S DR MARTIN L KING JR DR","60653","0.0","false","Douglas",,"72,115",,,,,,,,,,,,,,,,"41.82398325151","-87.61685389079","(41.82398325151479, -87.61685389078539)","2022-255002"
"2022","175743",,"Not Submitted","3000 3030 W MARQUETTE RD","60629","0.0","false","CHICAGO LAWN",,"8,000",,,,,,,,,,,,,,,,"41.77185370015","-87.6981578935","(41.77185370015405, -87.69815789349511)","2022-175743"
"2022","256885",,"Submitted Data","740 N ABERDEEN ST","60642","1.0","false",,"Multifamily Housing","220,601","2020","1",,"23","8,683,365.7","7,124,466.1","0","0",,"71.7","144.1","73","145.6","1,522.1","6.9","41.8953318242","-87.65523983963","(41.895331824200014, -87.6552398396278)","2022-256885"
"2022","102408","Mundelein Center","Not Submitted","1020 W Sheridan Rd","60660","0.0","false","ROGERS PARK",,"206,160",,,,,,,,,,,,,,,,"41.99833536934","-87.65721012539","(41.998335369336324, -87.65721012538745)","2022-102408"
"2022","254977","Whole Foods","Submitted Data","3201 N ASHLAND AVE","60657","1.5","false","Lake View","Supermarket/Grocery Store","82,147","2017","1",,"37","17,481,787.3","7,335,000","0","0",,"302.1","689.6","305.6","693.3","2,692.2","32.8","41.93974461573","-87.66851610106","(41.93974461573451, -87.6685161010639)","2022-254977"
"2022","130442",,"Submitted Data","210 N GREEN ST","60607","4.0","false","NEAR WEST SIDE","Office","92,741","1893","1",,"93","3,290,469.8","1,741,300.2","0","0",,"54.3","119.1","55.8","120.7","525.9","5.7","41.88601933271","-87.64879882848","(41.886019332711655, -87.64879882847895)","2022-130442"
"2022","256542",,"Not Submitted","5525 W Diversey Ave","60639","0.0","false","Belmont Cragin",,"72,000",,,,,,,,,,,,,,,,"41.93118709471","-87.76479650741","(41.93118709471326, -87.76479650741335)","2022-256542"
"2022","119676","Home Depot, #1974 Cicero & Armitage","Submitted Data","1919 N Cicero Ave","60639","2.0","false","BELMONT CRAGIN","Retail Store","118,221","2003","1",,"47","4,381,682.8","8,507,308.8","0","0",,"109","179.3","113.4","181.5","1,029","8.7","41.91571014555","-87.74590775451","(41.91571014555266, -87.74590775451382)","2022-119676"
"2022","254989","Depaul University Holtschneider Performance Center","Submitted Data","2330 N HALSTED ST","60614","2.0","false","Lincoln Park","Performing Arts","185,000","2018","1",,,"6,373,579.8","13,867,437.8","0","0",,"109.4","175.2","111.3","177.1","1,576.1","8.5","41.92456760597","-87.64887518195","(41.92456760597094, -87.64887518194728)","2022-254989"
"2022","158402","W CHICAGO - CITY CENTER","Submitted Data","172 W Adams St","60603","1.0","false","LOOP","Hotel","243,373","2009","1",,"13","15,170,851.2","26,330,119.1","0","0",,"170.5","288.1","175.3","290.6","3,396.7","14","41.87950365016","-87.63296974157","(41.879503650161986, -87.63296974156731)","2022-158402"
"2022","251564","Carter Elementary -CPS","Exempt","5740 S Michigan Ave","60637",,"true","WASHINGTON PARK",,"86,910",,,,,,,,,,,,,,,,"41.78984128583","-87.62248974219","(41.789841285831926, -87.6224897421911)","2022-251564"
"2022","160046",,"Submitted Data","444 W Lake St","60606","4.0","false","NEAR WEST SIDE","Office","1,339,945","2016","1",,"82","55,258,026.1","3,687,341.7","0","0",,"47.6","128","48","129.3","7,474.1","6","41.88582970383","-87.63980643562","(41.88582970383457, -87.63980643561894)","2022-160046"
"2022","256263","Fulton West","Submitted Data","1330 W. Fulton","60607","3.5","false","NEAR WEST SIDE","Office","555,948","2017","1",,"74","13,498,633.6","5,133,918.9","0","0",,"60.5","140.2","60.5","140.2","2,050.6","6.7","41.88673894982","-87.66015770725","(41.88673894981951, -87.66015770724567)","2022-256263"
